Gene	Gene synonym	Ensembl	Gene description	Chromosome	Position	Protein class	Evidence summary	HPA evidence	UniProt evidence	MS evidence	Antibody	Reliability (IH)	Reliability (Mouse Brain)	Reliability (IF)	Subcellular location	RNA tissue category	RNA TS	RNA TS FPKM	FPKM max in non-specific
TGFBR3	betaglycan, BGCAN	ENSG00000069702	Transforming growth factor, beta receptor III	1	91680343-91906335	Cancer-related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008257, CAB018971	Supportive		Uncertain	Cytoplasm	Expressed in all			ovary: 71.9
THBS1	THBS, THBS-1, TSP, TSP-1, TSP1	ENSG00000137801	Thrombospondin 1	15	39581079-39599466	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB033678	Uncertain				Tissue enhanced	0	appendix: 365.9	adipose tissue: 276.6
THBS2	TSP2	ENSG00000186340	Thrombospondin 2	6	169215780-169254044	Cancer-related genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB017716, HPA044304	Uncertain		Uncertain	Plasma membrane, Nucleus but not nucleoli, Cytoplasm	Tissue enhanced	0	gallbladder: 69.0	endometrium: 37.6
THBS3		ENSG00000169231	Thrombospondin 3	1	155195588-155209051	Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA006293	Uncertain		Uncertain	Nucleoli, Cytoplasm	Expressed in all			smooth muscle: 22.5
THBS4		ENSG00000113296	Thrombospondin 4	5	79991311-80083287	Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB004597	Uncertain				Group enriched	5	adipose tissue: 155.4;heart muscle: 92.2;smooth muscle: 229.7	thyroid gland: 31.3
THOC3	MGC5469, TEX1	ENSG00000051596	THO complex 3	5	175917873-176034680	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA042764, HPA044009, HPA045071	Uncertain		Supportive	Nucleus but not nucleoli, Vesicles	Expressed in all			esophagus: 58.9
THPO	MGDF, MPLLG, TPO	ENSG00000090534	Thrombopoietin	3	184371935-184378144	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level							Tissue enhanced	0	liver: 7.0	testis: 2.0
THSD4	ADAMTSL6, FLJ13710, FVSY9334, PRO34005	ENSG00000187720	Thrombospondin, type I, domain containing 4	15	71096952-71783383	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA026845	Uncertain		Uncertain	Nucleus, Nucleoli	Tissue enhanced	0	fallopian tube: 40.4	esophagus: 28.8
THY1	CD90	ENSG00000154096	Thy-1 cell surface antigen	11	119417378-119424985	CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA003733, CAB068243, CAB068244	Supportive				Tissue enhanced	0	smooth muscle: 259.9	cerebral cortex: 204.5
TIE1	JTK14, TIE	ENSG00000066056	Tyrosine kinase with immunoglobulin-like and EGF-like domains 1	1	43300993-43323108	Cancer-related genes, Enzymes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enhanced	0	placenta: 40.8	lung: 26.9
TIMMDC1	C3orf1, FLJ22597	ENSG00000113845	Translocase of inner mitochondrial membrane domain containing 1	3	119498532-119525090	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA053214, HPA055846	Uncertain		Supportive	Mitochondria, Nucleus but not nucleoli	Expressed in all			heart muscle: 22.6
TIMP1	CLGI, EPO, TIMP	ENSG00000102265	TIMP metallopeptidase inhibitor 1	X	47582313-47586789	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB022360, HPA053417	Supportive		Uncertain	Golgi apparatus	Expressed in all			appendix: 1282.3
TIMP2	CSC-21K	ENSG00000035862	TIMP metallopeptidase inhibitor 2	17	78852977-78925387	Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB010203	Uncertain				Expressed in all			ovary: 802.5
TIMP3	SFD	ENSG00000100234	TIMP metallopeptidase inhibitor 3	22	32801701-32863043	Cancer-related genes, Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB022187	Uncertain		Uncertain		Expressed in all			placenta: 796.2
TIMP4		ENSG00000157150	TIMP metallopeptidase inhibitor 4	3	12153051-12159351	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB002771	Uncertain				Tissue enriched	7	adipose tissue: 84.9	cerebral cortex: 12.5
TINAGL1	ARG1, LCN7, LIECG3, P3ECSL, TINAGRP	ENSG00000142910	Tubulointerstitial nephritis antigen-like 1	1	31576485-31587686	Enzymes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA048695	Uncertain				Tissue enhanced	0	placenta: 188.1	adipose tissue: 68.4
TINF2	TIN2	ENSG00000092330	TERF1 (TRF1)-interacting nuclear factor 2	14	24239643-24242674	Disease related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA059061, HPA069807			Supportive	Nucleus	Expressed in all			tonsil: 43.9
TLL2		ENSG00000095587	Tolloid-like 2	10	96364606-96513918	Enzymes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Tissue enhanced	0	cerebral cortex: 0.9;heart muscle: 0.8	gallbladder: 0.2
TLR1	CD281, KIAA0012, rsc786	ENSG00000174125	Toll-like receptor 1	4	38790677-38856817	CD markers, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Mixed			appendix: 23.2
TLR3	CD283	ENSG00000164342	Toll-like receptor 3	4	186069152-186088069	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB025658	Uncertain				Mixed			placenta: 14.2
TM2D2	BLP1	ENSG00000169490	TM2 domain containing 2	8	38988808-38996824	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA047152, HPA050547	Uncertain		Uncertain	Nucleus but not nucleoli, Plasma membrane, Vesicles	Expressed in all			placenta: 27.3
TM2D3	BLP2, FLJ22604	ENSG00000184277	TM2 domain containing 3	15	101621444-101652391	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at transcript level	Evidence at protein level	HPA054064	Uncertain		Uncertain	Nucleus but not nucleoli, Cytoplasm	Expressed in all			cerebral cortex: 50.0
TM7SF3		ENSG00000064115	Transmembrane 7 superfamily member 3	12	26973195-27014434	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA041097, HPA057640	Uncertain		Uncertain	Cytoplasm, Nucleus	Expressed in all			kidney: 94.7
TM9SF1	HMP70, MP70	ENSG00000100926	Transmembrane 9 superfamily member 1	14	24189143-24195687	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA059249	Supportive				Expressed in all			fallopian tube: 37.6
TMED1	Il1rl1l, IL1RL1LG, MGC1270, ST2L	ENSG00000099203	Transmembrane emp24 protein transport domain containing 1	19	10832438-10836318	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA018507	Uncertain				Expressed in all			kidney: 30.1
TMED2	P24A, RNP24	ENSG00000086598	Transmembrane emp24 domain trafficking protein 2	12	123584531-123598577	Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA014060	Uncertain		Supportive	Vesicles	Expressed in all			thyroid gland: 195.3
TMED3	C15orf22, p24B	ENSG00000166557	Transmembrane emp24 protein transport domain containing 3	15	79311062-79427432	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA049314	Uncertain				Tissue enhanced	0	salivary gland: 180.6	thyroid gland: 67.4
TMED4	HNLF	ENSG00000158604	Transmembrane emp24 protein transport domain containing 4	7	44577894-44582287	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA014650	Uncertain				Expressed in all			thyroid gland: 118.0
TMED5	CGI-100	ENSG00000117500	Transmembrane emp24 protein transport domain containing 5	1	93149742-93180728	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA050289	Uncertain				Expressed in all			liver: 20.8
TMED7	CGI-109, FLJ90481	ENSG00000134970	Transmembrane emp24 protein transport domain containing 7	5	115613508-115632992	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA008960, CAB025883	Supportive				Expressed in all			thyroid gland: 79.9
TMED7-TICAM2		ENSG00000251201	TMED7-TICAM2 readthrough	5	115578642-115626161	Predicted secreted proteins	Evidence at protein level	Evidence at protein level			HPA008960	Uncertain				Mixed			placenta: 3.0
TMEM108	CT124, MGC3040	ENSG00000144868	Transmembrane protein 108	3	133038391-133397792	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA063350	Uncertain				Mixed			testis: 15.1
TMEM116	FLJ90167	ENSG00000198270	Transmembrane protein 116	12	111931282-112013185	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA040720	Uncertain		Uncertain	Nucleus but not nucleoli, Cytoskeleton (Microtubules)	Expressed in all			testis: 23.4
TMEM119		ENSG00000183160	Transmembrane protein 119	12	108589846-108598320	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level	Evidence at protein level	HPA051870, HPA052650	Supportive				Mixed			lymph node: 39.8
TMEM155	FLJ30834	ENSG00000164112	Transmembrane protein 155	4	121758933-121765427	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Tissue enhanced	0	cerebral cortex: 14.6	placenta: 3.3
TMEM168	DKFZp564C012, FLJ13576	ENSG00000146802	Transmembrane protein 168	7	112762382-112790592	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA020389	Uncertain				Expressed in all			rectum: 20.7
TMEM178A	MGC33926, TMEM178	ENSG00000152154	Transmembrane protein 178A	2	39664982-39717963	Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA052128	Uncertain				Tissue enhanced	0	cerebral cortex: 28.9	prostate: 17.3
TMEM179	C14orf90, FLJ42486, TMEM179A	ENSG00000258986	Transmembrane protein 179	14	104474678-104605647	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA002942	Uncertain		Uncertain	Mitochondria	Group enriched	6	adrenal gland: 13.2;cerebral cortex: 19.6	testis: 2.5
TMEM196	MGC42090	ENSG00000173452	Transmembrane protein 196	7	19719310-19773598	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA043163	Uncertain				Group enriched	6	adrenal gland: 0.8;cerebral cortex: 3.6;endometrium: 1.0;stomach: 0.7	fallopian tube: 0.2
TMEM199	C17orf32, MGC45714	ENSG00000244045	Transmembrane protein 199	17	28357581-28363683	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA027051	Uncertain				Expressed in all			lymph node: 9.1
TMEM205	MBC3205, UNQ501	ENSG00000105518	Transmembrane protein 205	19	11342776-11346518	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA041504	Uncertain		Supportive	Nuclear membrane, Plasma membrane, Nucleus but not nucleoli, Cytoplasm, Cell Junctions	Expressed in all			thyroid gland: 111.6
TMEM213		ENSG00000214128	Transmembrane protein 213	7	138797952-138838101	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA054059	Uncertain				Group enriched	54	kidney: 56.8;salivary gland: 25.3	duodenum: 0.7
TMEM25	FLJ14399	ENSG00000149582	Transmembrane protein 25	11	118531041-118547280	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA012163, HPA051562	Uncertain		Uncertain	Golgi apparatus, Vesicles	Expressed in all			duodenum: 33.3
TMEM30C	CDC50C	ENSG00000235156	Transmembrane protein 30C	3	100185824-100194191	Predicted secreted proteins	No evidence	No evidence								Not detected			testis: 0.2
TMEM38B	bA219P18.1, C9orf87, D4Ertd89e, FLJ10493, TRIC-B	ENSG00000095209	Transmembrane protein 38B	9	105694544-105776612	Disease related genes, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA018465	Uncertain				Expressed in all			thyroid gland: 31.6
TMEM44	DKFZp686O18124	ENSG00000145014	Transmembrane protein 44	3	194587673-194633689	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA043718	Uncertain		Supportive	Cytoplasm	Mixed			rectum: 6.0
TMEM52		ENSG00000178821	Transmembrane protein 52	1	1917590-1919273	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level		HPA024562	Uncertain				Tissue enhanced	0	pancreas: 41.5;skeletal muscle: 85.2	adrenal gland: 14.8
TMEM52B	C12orf59, FLJ31166	ENSG00000165685	Transmembrane protein 52B	12	10170542-10191801	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA058096	Supportive				Tissue enriched	28	kidney: 120.6	placenta: 4.2
TMEM59	C1orf8, HSPC001	ENSG00000116209	Transmembrane protein 59	1	54031663-54053504	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA007410	Uncertain				Expressed in all			rectum: 332.5
TMEM67	JBTS6, MGC26979, MKS3, NPHP11	ENSG00000164953	Transmembrane protein 67	8	93754844-93819234	Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, Transporters	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA039940	Uncertain				Mixed			fallopian tube: 10.1
TMEM70	FLJ20533	ENSG00000175606	Transmembrane protein 70	8	73972437-73982783	Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA023187, CAB034226	Uncertain		Supportive	Mitochondria, Nucleus but not nucleoli	Expressed in all			skeletal muscle: 27.4
TMEM87A	DKFZP564G2022	ENSG00000103978	Transmembrane protein 87A	15	42210452-42273663	Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA018104, HPA018189	Supportive		Supportive	Golgi apparatus, Nucleus but not nucleoli	Expressed in all			thyroid gland: 64.5
TMEM95	MGC129793, UNQ9390	ENSG00000182896	Transmembrane protein 95	17	7355123-7357219	Predicted membrane proteins, Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level	Evidence at transcript level							Tissue enriched	42	testis: 4.2	adipose tissue: 0.0
TMIGD1	TMIGD, UNQ9372	ENSG00000182271	Transmembrane and immunoglobulin domain containing 1	17	30316333-30334059	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at transcript level		HPA021946	Uncertain		Uncertain	Mitochondria	Group enriched	33	colon: 57.7;rectum: 73.7;small intestine: 101.5	kidney: 2.3
TMPRSS12	CT151, MGC57341	ENSG00000186452	Transmembrane (C-terminal) protease, serine 12	12	50842920-50887884	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA015571	Uncertain				Tissue enriched	197	testis: 19.6	adipose tissue: 0.0
TMPRSS5	MGC141886, MGC148044	ENSG00000166682	Transmembrane protease, serine 5	11	113687550-113706373	Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA010992			Uncertain	Nucleus but not nucleoli	Tissue enhanced	0	cerebral cortex: 4.4;salivary gland: 2.3	testis: 0.8
TMUB1	C7orf21, SB144	ENSG00000164897	Transmembrane and ubiquitin-like domain containing 1	7	151081080-151083546	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA029429	Uncertain		Supportive	Nucleus but not nucleoli, Cytoplasm	Expressed in all			duodenum: 32.4
TMX2	PDIA12, TXNDC14	ENSG00000213593	Thioredoxin-related transmembrane protein 2	11	57712600-57740973	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA040282, HPA063763	Uncertain				Expressed in all			rectum: 51.4
TMX3	FLJ20793, KIAA1830, PDIA13, TXNDC10	ENSG00000166479	Thioredoxin-related transmembrane protein 3	18	68673688-68715298	Enzymes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA014157	Uncertain				Expressed in all			lymph node: 22.3
TNC	DFNA56, HXB, MGC167029, TN	ENSG00000041982	Tenascin C	9	115019578-115118257	Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB004592, HPA004823	Supportive				Expressed in all			smooth muscle: 318.3
TNFAIP6	TSG-6, TSG6	ENSG00000123610	Tumor necrosis factor, alpha-induced protein 6	2	151357592-151380048	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB032719, HPA050884	Supportive				Tissue enhanced	0	appendix: 26.3;gallbladder: 19.1	urinary bladder: 15.0
TNFRSF11A	CD265, FEO, LOH18CR1, PDB2, RANK	ENSG00000141655	Tumor necrosis factor receptor superfamily, member 11a, NFKB activator	18	62325287-62391292	CD markers, Disease related genes, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB010391, HPA027728	Supportive				Tissue enhanced	0	duodenum: 22.6	colon: 14.9
TNFRSF11B	OCIF, OPG, TR1	ENSG00000164761	Tumor necrosis factor receptor superfamily, member 11b	8	118923557-118952200	Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA027013	Uncertain				Group enriched	6	kidney: 19.4;thyroid gland: 77.1	endometrium: 8.5
TNFRSF12A	CD266, FN14, TweakR	ENSG00000006327	Tumor necrosis factor receptor superfamily, member 12A	16	3018445-3022383	Cancer-related genes, CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA007853, CAB015941	Uncertain		Uncertain	Plasma membrane, Cytoplasm, Cytoskeleton (Microtubules)	Expressed in all			gallbladder: 53.7
TNFRSF14	ATAR, CD270, HVEA, HVEM, LIGHTR, TR2	ENSG00000157873	Tumor necrosis factor receptor superfamily, member 14	1	2555639-2565382	Cancer-related genes, CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA006404, CAB026150, CAB030007	Uncertain		Uncertain	Cytoplasm	Expressed in all			lymph node: 47.2
TNFRSF18	AITR, CD357, GITR	ENSG00000186891	Tumor necrosis factor receptor superfamily, member 18	1	1203508-1206691	CD markers, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA008025	Uncertain				Tissue enhanced	0	skin: 19.3	appendix: 3.8
TNFRSF1A	CD120a, TNF-R, TNF-R-I, TNF-R55, TNFAR, TNFR1, TNFR60	ENSG00000067182	Tumor necrosis factor receptor superfamily, member 1A	12	6328757-6342114	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Disease related genes, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004102, CAB010309	Uncertain		Uncertain	Mitochondria	Expressed in all			gallbladder: 93.6
TNFRSF1B	CD120b, p75, TNF-R-II, TNF-R75, TNFBR, TNFR2, TNFR80	ENSG00000028137	Tumor necrosis factor receptor superfamily, member 1B	1	12167003-12209228	Cancer-related genes, Candidate cardiovascular disease genes, CD markers, Plasma proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA004796, CAB013045	Uncertain				Expressed in all			appendix: 55.6
TNFRSF25	APO-3, DDR3, DR3, LARD, TNFRSF12, TR3, TRAMP, WSL-1, WSL-LR	ENSG00000215788	Tumor necrosis factor receptor superfamily, member 25	1	6461151-6466195	Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level							Tissue enhanced	0	skin: 18.8	spleen: 8.7
TNFRSF6B	DcR3, M68, TR6	ENSG00000243509	Tumor necrosis factor receptor superfamily, member 6b, decoy	20	63696668-63698684	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	HPA047154	Uncertain				Tissue enhanced	0	appendix: 6.4	stomach: 2.2
TNFSF11	CD254, ODF, OPGL, RANKL, TRANCE	ENSG00000120659	Tumor necrosis factor (ligand) superfamily, member 11	13	42562736-42608013	Cancer-related genes, CD markers, Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		CAB009193, HPA045142	Supportive				Tissue enhanced	0	lymph node: 13.2	appendix: 4.6
TNFSF12	APO3L, DR3LG, TWEAK	ENSG00000239697	Tumor necrosis factor (ligand) superfamily, member 12	17	7548891-7557890	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA052967	Uncertain				Expressed in all			adipose tissue: 18.0
TNFSF12-TNFSF13	TWE-PRIL	ENSG00000248871	TNFSF12-TNFSF13 readthrough	17	7549099-7561601	Predicted secreted proteins	Evidence at transcript level	Evidence at transcript level			HPA004863, HPA052967	Uncertain				Mixed			lung: 1.3
TNFSF15	MGC129934, MGC129935, TL1, TL1A, VEGI, VEGI192A	ENSG00000181634	Tumor necrosis factor (ligand) superfamily, member 15	9	114784635-114806126	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level		HPA012948	Uncertain				Mixed			duodenum: 7.1
TNN		ENSG00000120332	Tenascin N	1	175067858-175148066	Plasma proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB010907, HPA026726, HPA026764	Uncertain				Tissue enhanced	0	adipose tissue: 7.7	thyroid gland: 1.7
TNR		ENSG00000116147	Tenascin R	1	175315194-175743770	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB022343, HPA027134, HPA027150, HPA029859	Supportive		Supportive	Nucleus but not nucleoli	Tissue enriched	27	cerebral cortex: 36.8	adrenal gland: 1.3
TNXB	TNXB1, TNXB2, TNXBS, XB, XBS	ENSG00000168477	Tenascin XB	6	32041154-32115334	Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	CAB005373	Uncertain				Expressed in all			adrenal gland: 62.2
TOMM7		ENSG00000196683	Translocase of outer mitochondrial membrane 7 homolog (yeast)	7	22812628-22822852	Mitochondrial proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Expressed in all			ovary: 560.5
TOP1MT		ENSG00000184428	Topoisomerase (DNA) I, mitochondrial	8	143304384-143359979	Enzymes, FDA approved drug targets, Mitochondrial proteins, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA001915, HPA021542	Uncertain		Supportive	Mitochondria	Expressed in all			ovary: 25.3
TOR1A	DQ2, DYT1	ENSG00000136827	Torsin family 1, member A (torsin A)	9	129812944-129824134	Cytoskeleton related proteins, Disease related genes, Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level	CAB012473	Uncertain				Expressed in all			thyroid gland: 23.0
TOR1B	DQ1, MGC4386	ENSG00000136816	Torsin family 1, member B (torsin B)	9	129803153-129811281	Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA013403, HPA013697, CAB022709	Supportive		Uncertain	Nucleus but not nucleoli, Cytoplasm	Expressed in all			rectum: 18.3
TOR2A	FLJ14771, TORP1	ENSG00000160404	Torsin family 2, member A	9	127731524-127735317	Predicted secreted proteins	Evidence at protein level	Evidence at transcript level	Evidence at protein level	Evidence at protein level						Expressed in all			bone marrow: 14.2
TOR3A	ADIR, ADIR2, FLJ22345	ENSG00000186283	Torsin family 3, member A	1	179081377-179098023	Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA028766	Uncertain				Expressed in all			lymph node: 29.3
TPD52	D52, hD52, N8L	ENSG00000076554	Tumor protein D52	8	80034868-80231232	Cancer-related genes, Predicted intracellular proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level	Evidence at protein level	HPA028427, HPA062167	Supportive				Expressed in all			rectum: 110.6
TPO	TPX	ENSG00000115705	Thyroid peroxidase	2	1374223-1543711	Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins	Evidence at protein level	Evidence at protein level	Evidence at protein level		HPA007987, CAB009587	Supportive		Uncertain	Cytoplasm	Tissue enriched	68	thyroid gland: 1821.7	spleen: 26.7
